Time,time,deltaX,deltaY,range,surfaceQuality
1638389466.436954,1638389466450117149,-14,-2,8190,138
1638389466.5505795,1638389466563742475,-14,-4,8191,144
1638389466.6518707,1638389466664698890,-15,-4,8191,134
1638389466.7389512,1638389466752215313,-16,-9,8190,127
1638389466.837594,1638389466850996716,-17,-7,8190,117
1638389466.9511244,1638389466964188737,-14,0,8191,111
1638389467.0390005,1638389467051971682,-12,-5,8190,114
1638389467.1400092,1638389467153123364,-7,-4,8190,109
1638389467.2500448,1638389467263167920,-19,-2,8191,104
1638389467.340245,1638389467353503292,-10,0,8190,103
1638389467.4512694,1638389467464210905,1,0,8191,100
1638389467.6636977,1638389467564001420,0,1,8191,106
1638389467.6637359,1638389467664890849,0,0,8191,103
1638389467.7389035,1638389467752017038,0,0,8190,104
1638389467.9939926,1638389467865260880,0,0,8191,106
1638389467.9940093,1638389467952200081,0,0,8190,99
1638389469.0013146,1638389468052162583,0,0,8190,101
1638389469.0013323,1638389468164760448,0,0,8191,103
1638389469.0013404,1638389468266131201,0,0,8191,105
1638389469.0013473,1638389468365118179,0,0,8191,105
1638389469.0013547,1638389468450876948,0,0,8190,102
1638389469.0013828,1638389468563745193,0,0,8191,103
1638389469.0013866,1638389468663551278,1,0,8191,105
1638389469.001389,1638389468765643059,0,0,8191,104
1638389469.0013912,1638389468865295803,0,0,8191,103
1638389469.0013928,1638389468965179548,0,0,8191,104
1638389469.1563802,1638389469053770394,0,0,8190,103
1638389469.156387,1638389469164852445,0,0,8191,103
1638389469.2519755,1638389469264613419,2,-1,8190,100
1638389469.3523695,1638389469364917757,-1,-1,8191,101
1638389469.4358606,1638389469449308428,8,1,8190,108
1638389469.5392907,1638389469552062480,16,-2,8190,103
1638389469.6682203,1638389469652158316,27,0,8190,114
1638389469.7505057,1638389469763478296,30,-3,8191,115
1638389469.8413773,1638389469854230142,39,-6,8190,128
1638389469.9539304,1638389469967163594,38,-13,8191,137
1638389470.0372424,1638389470050490300,34,-8,8190,120
1638389470.139996,1638389470152876828,40,-8,8190,103
1638389470.2396584,1638389470251490133,46,0,8190,110
1638389470.3508117,1638389470364066790,39,11,8191,129
1638389470.4402983,1638389470453533772,33,9,8190,114
1638389470.5544872,1638389470566518888,45,3,8191,105
1638389470.636257,1638389470649525784,19,3,8190,98
1638389470.8070307,1638389470762913683,16,0,8191,92
1638389470.8363378,1638389470849610308,7,0,8190,94
1638389470.9505038,1638389470963730017,-4,2,8191,94
1638389471.0368993,1638389471050099382,0,0,8190,93
1638389471.1500134,1638389471163188198,-2,0,8191,92
1638389471.2371724,1638389471250240620,4,2,8190,96
1638389471.3719811,1638389471349859600,9,0,8190,88
1638389471.4501667,1638389471463369220,19,0,8191,87
1638389471.5502758,1638389471563494685,18,1,8191,83
1638389471.636566,1638389471649655184,17,9,8190,85
1638389471.7369773,1638389471749416776,5,-15,8190,94
1638389471.8505237,1638389471863768472,21,4,8191,87
1638389471.9520943,1638389471965484022,24,9,8191,96
1638389472.0508344,1638389472064049246,30,-2,8191,101
1638389472.138838,1638389472152156147,22,-7,8190,107
1638389472.236012,1638389472249311710,17,-9,8190,108
1638389472.338336,1638389472351413632,15,-5,8190,113
