,steerAngle,throttle,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,fwLeftPos,fwRightPos,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
738,0.0,29.40643119812012,-0.4955979883670807,-0.1316809952259063,9.982586860656738,-0.0285110007971525,0.017587000504136,0.0037299999967217,-35.70000076293945,-22.5,68.69999694824219,215.33203125,7.185059070587158,2982.820556640625,224.3177795410156,0.0,0.0,0.0,0.9983607055909466,0.0572354918904974
739,0.0,29.40643119812012,-0.4955979883670807,-0.1388629972934723,9.937097549438477,-0.0282450001686811,0.0189190004020929,0.0039969999343156,-35.70000076293945,-22.5,69.29999542236328,215.33203125,7.185059070587158,2982.862548828125,224.3491973876953,0.0,0.0,0.0,0.9983564999297408,0.0573088042802975
740,0.0,29.40643119812012,-0.4955979883670807,-0.1388629972934723,9.937097549438477,-0.0282450001686811,0.0189190004020929,0.0039969999343156,-35.70000076293945,-22.5,69.29999542236328,215.2001953125,7.09716796875,2982.798828125,224.44029235839844,0.0,0.0,0.0,0.9983744794930188,0.056994725168593
741,0.0,29.40643119812012,-0.4955979883670807,-0.1388629972934723,9.937097549438477,-0.0282450001686811,0.0189190004020929,0.0039969999343156,-35.70000076293945,-22.5,69.29999542236328,215.2001953125,7.09716796875,2982.798828125,224.44029235839844,0.0,0.0,0.0,0.9983744794930188,0.056994725168593
742,0.0,30.238460540771484,-0.4955979883670807,-0.1388629972934723,9.937097549438477,-0.0282450001686811,0.0189190004020929,0.0039969999343156,-35.70000076293945,-22.5,69.29999542236328,215.2001953125,7.09716796875,2983.0439453125,224.47219848632807,0.0,0.0,0.0,0.9983772911176436,0.0569454526770663
743,0.0,30.238460540771484,-0.4955979883670807,-0.1388629972934723,9.937097549438477,-0.0282450001686811,0.0189190004020929,0.0039969999343156,-35.70000076293945,-22.5,69.29999542236328,215.2001953125,7.09716796875,2982.989501953125,224.4562530517578,0.0,0.0,0.0,0.9983853186705112,0.0568045373467807
744,0.0,30.65447807312012,-0.4955979883670807,-0.1388629972934723,9.937097549438477,-0.0282450001686811,0.0189190004020929,0.0039969999343156,-35.70000076293945,-22.5,69.29999542236328,215.2001953125,7.09716796875,2982.906982421875,224.4664306640625,0.0,0.0,0.0,0.9983727600808712,0.0570248360673053
745,0.0,31.486507415771484,-0.4955979883670807,-0.1388629972934723,9.937097549438477,-0.0282450001686811,0.0189190004020929,0.0039969999343156,-35.70000076293945,-22.5,69.29999542236328,215.2001953125,7.09716796875,2982.899658203125,224.4074249267578,0.0,0.0,0.0,0.9983626836650338,0.0572009778338778
746,0.0,32.73616027832031,-0.4955979883670807,-0.1388629972934723,9.937097549438477,-0.0282450001686811,0.0189190004020929,0.0039969999343156,-35.70000076293945,-22.5,69.29999542236328,215.2001953125,7.09716796875,2982.84912109375,224.39944458007807,0.0,0.0,0.0,0.9983512968660658,0.0573993732182193
747,0.0,34.81623840332031,-0.4955979883670807,-0.1388629972934723,9.937097549438477,-0.0282450001686811,0.0189190004020929,0.0039969999343156,-35.70000076293945,-22.5,69.29999542236328,215.3759765625,7.1630859375,2982.84912109375,224.39944458007807,0.0,0.0,0.0,0.9983512968660658,0.0573993732182193
748,0.0,36.06428527832031,-0.4955979883670807,-0.1388629972934723,9.937097549438477,-0.0282450001686811,0.0189190004020929,0.0039969999343156,-35.70000076293945,-22.5,69.29999542236328,215.3759765625,7.1630859375,2982.658203125,224.4855194091797,0.0,0.0,0.0,0.9983882697520212,0.0567526459432994
