Time,time,range
1638389141.59982,1638389141574939422,1068
1638389141.678076,1638389141673809107,2001
1638389141.7790623,1638389141774458685,1694
1638389141.8790627,1638389141874852921,1158
1638389141.9799094,1638389141974959937,984
1638389142.0801468,1638389142075186407,954
1638389142.1823363,1638389142177952895,1635
1638389142.2746847,1638389142270673593,1387
1638389142.3753343,1638389142370318785,1216
1638389142.474509,1638389142470467524,1352
1638389142.5744061,1638389142570399206,1454
1638389142.6752515,1638389142670559144,1473
1638389142.8212144,1638389142770792633,1466
1638389142.8749297,1638389142870806148,1123
1638389142.9743729,1638389142970407897,1414
1638389143.076586,1638389143070619420,1563
1638389143.1724982,1638389143168505244,1368
1638389143.2745533,1638389143270236977,1402
1638389143.3725398,1638389143368627859,1486
1638389143.4726894,1638389143468547978,1631
1638389143.5727856,1638389143568570088,1790
1638389143.6726365,1638389143668701533,1726
1638389143.7746668,1638389143768550967,962
1638389143.8722088,1638389143868379618,1048
1638389143.972454,1638389143968528773,1186
1638389144.0722795,1638389144068155807,2057
1638389144.169955,1638389144166149249,1250
1638389144.271366,1638389144267464528,1025
1638389144.3702736,1638389144366471471,1081
1638389144.470036,1638389144466243397,1202
1638389144.5702963,1638389144566380156,1382
1638389144.684597,1638389144666348511,1355
1638389144.769907,1638389144766176589,1728
1638389145.033854,1638389144923735872,2313
1638389145.0362895,1638389145023886426,2131
1638389145.1431546,1638389145137539665,1978
1638389145.168489,1638389145164815464,1717
1638389145.2768102,1638389145264944254,1711
1638389145.3667357,1638389145363065526,1307
1638389145.4681745,1638389145463471379,1204
1638389145.5762937,1638389145563624756,1354
1638389145.6674721,1638389145663757818,1785
1638389145.7693784,1638389145764132053,773
1638389145.8766081,1638389145862048770,577
1638389146.0289123,1638389146024657129,4398
1638389146.1740189,1638389146137865626,4222
1638389146.2299218,1638389146225700635,4032
1638389146.341736,1638389146338166079,4350
1638389146.3666344,1638389146363011954,4758
1638389146.470091,1638389146462929003,4748
1638389146.5663388,1638389146561969287,1043
1638389146.6659303,1638389146661414512,1486
1638389146.768836,1638389146762009555,1289
1638389146.866583,1638389146862248463,1860
1638389147.0664437,1638389146962505967,1042
1638389147.069611,1638389147062666819,991
1638389147.1677482,1638389147164112114,1368
1638389147.3659174,1638389147262796319,2822
1638389147.4100463,1638389147406324048,3242
1638389147.518874,1638389147503899118,3267
1638389147.6598308,1638389147599388588,3275
1638389147.703334,1638389147699433310,3254
1638389147.8027916,1638389147799332495,3228
1638389147.9560797,1638389147899285071,3256
1638389148.002415,1638389147998950115,3238
1638389148.102482,1638389148099002811,3276
1638389148.1614814,1638389148158077695,3220
1638389148.302827,1638389148299042045,3250
1638389148.40267,1638389148399268821,3275
1638389148.6041062,1638389148499624986,3256
1638389148.6088495,1638389148599719195,3310
1638389148.7028604,1638389148699410547,3262
1638389148.8443801,1638389148799373960,3240
1638389148.9032907,1638389148899435040,3244
1638389148.9593713,1638389148955844001,3227
1638389149.1940517,1638389149096526868,3257
1638389149.2025154,1638389149198906229,3279
1638389149.3141923,1638389149309302681,3279
1638389149.5423687,1638389149402746673,3257
1638389149.60523,1638389149496031637,3280
1638389149.605268,1638389149596141424,3256
1638389149.6588602,1638389149654728464,3270
1638389149.8899367,1638389149796951478,3346
1638389149.9022663,1638389149898804479,3232
1638389150.0006642,1638389149996458992,3175
1638389150.2340367,1638389150094882764,3092
1638389150.2393458,1638389150195029953,2967
1638389150.300964,1638389150296735961,2811
1638389150.3977265,1638389150393785672,2620
1638389150.5792928,1638389150493906920,2480
1638389150.6013014,1638389150594455664,2429
1638389150.6992557,1638389150694514823,2395
1638389150.9203267,1638389150794363437,2399
1638389150.9310703,1638389150894433847,2427
1638389151.0009954,1638389150997145226,2407
1638389151.097421,1638389151094248075,2420
1638389151.26898,1638389151194267910,2410
1638389151.2969396,1638389151293782272,2405
1638389151.395188,1638389151392064207,2412
1638389151.6146379,1638389151491877091,2409
1638389151.6191256,1638389151592223368,2424
1638389151.6960697,1638389151692373895,2404
1638389151.795705,1638389151792111771,2412
1638389151.9608607,1638389151892049722,2421
1638389151.9966078,1638389151993488775,2413
1638389152.1000998,1638389152093975492,2400
1638389152.3064458,1638389152198342266,2416
1638389152.3088996,1638389152292601681,2400
1638389152.3963587,1638389152392768098,2407
1638389152.4974396,1638389152493730435,2399
1638389152.6508412,1638389152593206568,2414
1638389152.6968424,1638389152693629628,2411
1638389152.7969825,1638389152793796254,2408
1638389152.9960408,1638389152893700715,2402
1638389153.0034716,1638389152993648670,2410
1638389153.0953655,1638389153092151424,2421
1638389153.1964178,1638389153192453954,2407
1638389153.2965815,1638389153293648457,2425
1638389153.3915055,1638389153388565919,2411
1638389153.4915454,1638389153488609566,2418
1638389153.5916686,1638389153588254316,2411
1638389153.6915393,1638389153688607476,2414
1638389153.7916477,1638389153788720923,2398
1638389153.9175696,1638389153890055492,2416
1638389153.9940617,1638389153987779355,2419
1638389154.1858275,1638389154086866087,2424
1638389154.1961184,1638389154190936115,2404
1638389154.2901404,1638389154287006365,2419
1638389154.4850926,1638389154387276135,2420
1638389154.4913368,1638389154488250566,2414
1638389154.5906785,1638389154587238634,2404
1638389154.6912162,1638389154688161756,2421
1638389154.7965035,1638389154787432616,2420
1638389154.8888445,1638389154885611117,2451
1638389154.9945788,1638389154985847862,2325
1638389155.0488846,1638389155045434277,1937
1638389155.1477473,1638389155144890631,1453
1638389155.2482786,1638389155245472002,1435
1638389155.3476903,1638389155344948097,1462
