Time,time,range
1638389587.2845814,1638389587300093990,2893
1638389587.3844001,1638389587399907610,2836
1638389587.4857159,1638389587500937039,2984
1638389587.5827415,1638389587597750200,2877
1638389587.6818936,1638389587697432781,2941
1638389587.792089,1638389587806841672,2925
1638389587.879761,1638389587894900899,2909
1638389587.9806533,1638389587995814080,2967
1638389588.081271,1638389588095750688,2961
1638389588.1815934,1638389588196504782,2916
1638389588.2821665,1638389588297504443,2970
1638389588.3753538,1638389588390829365,2945
1638389588.4752982,1638389588490781287,2926
1638389588.5736845,1638389588588692209,2939
1638389588.6728132,1638389588688102475,2900
1638389588.7737765,1638389588788115386,2942
1638389588.873392,1638389588888184493,2921
1638389588.970745,1638389588985993751,2936
1638389589.0710013,1638389589085909495,3020
1638389589.1695955,1638389589184055332,833
1638389589.2691157,1638389589284481383,379
1638389589.3677375,1638389589382804976,618
1638389589.467246,1638389589482427033,1025
1638389589.5667865,1638389589582179191,2772
1638389589.7075932,1638389589722799276,3695
1638389589.8060107,1638389589821351771,1414
1638389589.9063168,1638389589921746052,1612
1638389590.005046,1638389590020393549,1556
1638389590.0635982,1638389590078042298,373
1638389590.1632211,1638389590178388113,1023
1638389590.2628767,1638389590277845353,211
1638389590.372616,1638389590378568140,3472
1638389590.5264673,1638389590474719196,3753
1638389590.599173,1638389590614097620,1879
1638389590.6988654,1638389590714186931,1901
1638389590.7982717,1638389590813623806,1905
1638389590.8967807,1638389590911060774,1905
1638389590.9977865,1638389591013071246,1901
1638389591.0939453,1638389591109226439,1903
1638389591.1968894,1638389591209402698,1901
1638389591.2945971,1638389591309318858,1901
1638389591.3920848,1638389591407177038,1904
1638389591.4930124,1638389591507336006,1905
1638389591.620863,1638389591607066076,1905
1638389591.6902273,1638389591705511901,1943
1638389591.790326,1638389591805579152,2019
1638389591.8910625,1638389591903124942,2136
1638389591.9885774,1638389592003704787,2289
1638389592.05761,1638389592072929849,2556
1638389592.1482525,1638389592163418715,1523
1638389592.286856,1638389592300859170,3656
1638389592.3868065,1638389592401192272,3980
1638389592.4560988,1638389592470059372,4733
1638389592.5423155,1638389592557358613,1682
1638389592.6426647,1638389592657529010,1844
1638389592.742758,1638389592757853363,2702
1638389592.8429573,1638389592857441011,1694
1638389592.957725,1638389592972233260,2413
1638389593.0448384,1638389593059024920,1866
1638389593.1419656,1638389593156550027,2140
1638389593.2448232,1638389593258271460,2147
1638389593.355968,1638389593369774475,1893
1638389593.44538,1638389593460321799,2137
1638389593.5596828,1638389593574701426,1957
1638389593.6527755,1638389593666898302,2001
1638389593.7416286,1638389593756359762,2118
1638389593.8417866,1638389593856329197,1431
1638389593.9418826,1638389593956390765,2022
1638389594.0545757,1638389594069356997,2209
1638389594.1553862,1638389594170110347,2086
1638389594.2702222,1638389594284159278,198
1638389594.3708434,1638389594384771901,0
1638389594.4630404,1638389594478179452,4092
1638389594.5559173,1638389594571072847,4069
1638389594.644011,1638389594658246297,3893
1638389594.7571473,1638389594771379464,2767
1638389594.8447444,1638389594858490052,2599
1638389594.9204135,1638389594935623224,2922
1638389595.0209632,1638389595035558420,2622
1638389595.1183214,1638389595133515283,2646
1638389595.2186458,1638389595233853767,1936
1638389595.318695,1638389595333867362,2074
1638389595.4166768,1638389595431371681,2632
1638389595.518135,1638389595531253091,2755
1638389595.6160522,1638389595631232104,2309
1638389595.715675,1638389595730605659,2528
1638389595.8145137,1638389595829211884,2536
1638389595.9172816,1638389595929315998,3119
1638389596.0135274,1638389596028565499,2641
1638389596.1156626,1638389596127071437,2708
1638389596.213424,1638389596228497164,2684
1638389596.3132527,1638389596327843294,2842
1638389596.4136882,1638389596427651864,2966
1638389596.508722,1638389596523762846,2940
1638389596.60928,1638389596624225466,2909
1638389596.7077255,1638389596721954595,2871
1638389596.806926,1638389596822037952,2969
1638389596.903616,1638389596918364242,2444
1638389597.0056424,1638389597018171201,2760
1638389597.1031487,1638389597118142134,2554
1638389597.2016225,1638389597216107479,2533
1638389597.3014202,1638389597315790918,2550
1638389597.451376,1638389597415537324,3024
1638389597.4981225,1638389597513160332,2607
1638389597.5980434,1638389597613148452,2261
1638389597.7150915,1638389597712975951,2659
1638389597.7979257,1638389597812868969,2547
1638389597.8971357,1638389597911906534,2607
1638389597.9962049,1638389598011194357,2819
1638389598.0963082,1638389598111133386,2578
1638389598.1969995,1638389598211359026,2580
1638389598.2923348,1638389598307237972,2655
1638389598.3904054,1638389598405409742,2412
1638389598.492274,1638389598506789840,2608
1638389598.590647,1638389598605366707,2495
1638389598.6889997,1638389598703898991,2392
1638389598.7957373,1638389598807966384,2740
