Time,time,range
1638389606.3845115,1638389606398288151,2692
1638389606.487424,1638389606501817614,2665
1638389606.583568,1638389606598338129,2685
1638389606.6843116,1638389606698013696,2657
1638389606.7834861,1638389606798228630,2684
1638389606.8869808,1638389606901469556,2693
1638389606.9831707,1638389606997827834,2688
1638389607.1447551,1638389607158245991,2692
1638389607.182171,1638389607196358505,2618
1638389607.2852235,1638389607298956756,2660
1638389607.3818157,1638389607395353596,2685
1638389607.5572991,1638389607495763184,2691
1638389607.580958,1638389607595493408,2692
1638389607.9246788,1638389607700417247,2681
1638389607.9246976,1638389607797882142,2713
1638389607.9247122,1638389607895625888,2686
1638389607.9810448,1638389607995641993,2680
1638389608.0801759,1638389608094774070,2657
1638389608.179211,1638389608193967241,2685
1638389608.3202996,1638389608334916366,2700
1638389608.3784432,1638389608393142842,2707
1638389608.4786084,1638389608493357976,2676
1638389608.5789814,1638389608593699254,2654
1638389608.6788392,1638389608693572258,3571
1638389608.7794294,1638389608793796507,3544
1638389608.8777585,1638389608891911153,3410
1638389609.0224524,1638389609033539806,1548
1638389609.1188905,1638389609133165700,1136
1638389609.2218647,1638389609233050132,1043
1638389609.3185577,1638389609332895607,990
1638389609.4185398,1638389609432957119,951
1638389609.5185306,1638389609532883842,935
1638389609.6174488,1638389609632105212,945
1638389609.7175028,1638389609732173183,945
1638389609.8174436,1638389609832111312,945
1638389609.9169939,1638389609931714082,949
1638389610.0176866,1638389610032359810,947
1638389610.1185782,1638389610132560509,946
1638389610.2209713,1638389610232308194,951
1638389610.3176832,1638389610332148586,943
1638389610.419104,1638389610432512460,956
1638389610.5208824,1638389610532227906,947
1638389610.6181116,1638389610632660580,944
1638389610.7177746,1638389610732035042,944
1638389610.8184388,1638389610832850158,948
1638389610.9184713,1638389610932160923,946
1638389611.0196183,1638389611033199063,948
1638389611.1198235,1638389611133189787,949
1638389611.2189302,1638389611233212854,950
1638389611.3212128,1638389611334794960,953
1638389611.421732,1638389611433153365,942
1638389611.5209198,1638389611533365961,947
1638389611.6184924,1638389611632879036,841
1638389611.7142289,1638389611728379828,752
1638389611.815919,1638389611829777197,731
1638389611.9140377,1638389611928206278,733
1638389612.0140893,1638389612028106488,739
1638389612.1141715,1638389612128278116,741
1638389612.214066,1638389612228372922,739
1638389612.3138764,1638389612328123411,736
1638389612.4130929,1638389612427587133,741
1638389612.5133393,1638389612527850635,742
1638389612.6132832,1638389612627651383,754
1638389612.713157,1638389612727721346,774
1638389612.813419,1638389612827931516,799
1638389612.9116263,1638389612926098747,807
1638389613.011599,1638389613026106060,822
1638389613.1128013,1638389613127104728,825
1638389613.21164,1638389613226025720,836
1638389613.3113878,1638389613325811125,843
1638389613.4123137,1638389613425789601,849
1638389613.511076,1638389613525479539,856
1638389613.642855,1638389613625484316,871
1638389613.7141666,1638389613728559465,884
1638389613.8103507,1638389613824813672,878
1638389613.911643,1638389613926117128,897
1638389614.0117483,1638389614025700041,909
1638389614.1106935,1638389614125173025,914
1638389614.2109118,1638389614225316884,918
1638389614.3104706,1638389614324952626,915
1638389614.4116702,1638389614426202667,915
1638389614.5105655,1638389614524943213,919
